"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length";"Track Length";"Die Length";"Net Length";
352;"/sa_do_2";2;1;9.12 mils;3919.53 mils;0.00 mils;3928.66 mils;
353;"/di_2";2;1;9.12 mils;3918.89 mils;0.00 mils;3928.01 mils;
354;"/di_17";2;1;9.12 mils;3929.10 mils;0.00 mils;3938.22 mils;
355;"/di_20";2;1;52.25 mils;3832.62 mils;0.00 mils;3884.86 mils;
356;"/di_19";2;1;9.12 mils;3918.76 mils;0.00 mils;3927.88 mils;
357;"/bleed_en";2;2;113.62 mils;3813.90 mils;0.00 mils;3927.52 mils;
358;"/wl_en";2;1;9.12 mils;3918.76 mils;0.00 mils;3927.88 mils;
359;"/sa_do_0";2;1;52.25 mils;3886.34 mils;0.00 mils;3938.59 mils;
360;"/sa_do_4";2;1;9.12 mils;3924.17 mils;0.00 mils;3933.29 mils;
361;"/di_12";2;1;52.25 mils;3885.00 mils;0.00 mils;3937.25 mils;
362;"/di_15";2;1;52.25 mils;3884.75 mils;0.00 mils;3937.00 mils;
363;"/di_13";2;2;61.37 mils;3874.13 mils;0.00 mils;3935.50 mils;
364;"/sa_do_3";2;1;52.25 mils;3885.07 mils;0.00 mils;3937.31 mils;
365;"/sa_do_1";2;1;9.12 mils;3927.89 mils;0.00 mils;3937.01 mils;
366;"/clamp_ref_5";2;1;9.12 mils;3918.72 mils;0.00 mils;3927.84 mils;
367;"/di_11";2;2;61.37 mils;3816.03 mils;0.00 mils;3877.40 mils;
368;"/di_9";2;1;52.25 mils;3885.49 mils;0.00 mils;3937.74 mils;
369;"/di_10";2;1;9.12 mils;3927.67 mils;0.00 mils;3936.79 mils;
370;"/sa_do_7";2;1;52.25 mils;3832.81 mils;0.00 mils;3885.06 mils;
371;"/sa_do_10";2;1;9.12 mils;3919.97 mils;0.00 mils;3929.09 mils;
372;"/sa_do_6";2;1;52.25 mils;3832.50 mils;0.00 mils;3884.75 mils;
373;"/di_7";2;1;9.12 mils;3917.75 mils;0.00 mils;3926.87 mils;
374;"/di_5";2;2;61.37 mils;3814.47 mils;0.00 mils;3875.84 mils;
375;"/di_6";2;1;52.25 mils;3832.63 mils;0.00 mils;3884.88 mils;
376;"/sa_do_11";2;1;52.25 mils;3884.81 mils;0.00 mils;3937.05 mils;
377;"/sa_do_12";2;1;9.12 mils;3918.76 mils;0.00 mils;3927.88 mils;
378;"/sa_do_9";2;1;52.25 mils;3832.82 mils;0.00 mils;3885.07 mils;
379;"/sa_do_38";2;1;9.12 mils;3918.77 mils;0.00 mils;3927.90 mils;
380;"/sa_rdy";2;1;9.12 mils;3918.74 mils;0.00 mils;3927.86 mils;
381;"/sa_do_31";2;1;9.12 mils;3918.76 mils;0.00 mils;3927.88 mils;
382;"/rram_addr_1";2;1;52.25 mils;3833.13 mils;0.00 mils;3885.38 mils;
383;"/di_30";2;2;61.37 mils;3815.27 mils;0.00 mils;3876.64 mils;
384;"/wl_dac_config_1";2;1;52.25 mils;3831.79 mils;0.00 mils;3884.04 mils;
385;"/sa_do_18";2;1;52.25 mils;3832.54 mils;0.00 mils;3884.78 mils;
386;"/sa_do_16";2;2;113.62 mils;3812.76 mils;0.00 mils;3926.38 mils;
387;"/sa_do_8";2;1;9.12 mils;3918.82 mils;0.00 mils;3927.94 mils;
388;"/di_3";2;1;9.12 mils;3920.82 mils;0.00 mils;3929.94 mils;
389;"/sa_do_21";2;1;52.25 mils;3832.67 mils;0.00 mils;3884.92 mils;
